,author,date,text,sent
0,bkakshay39,2021-05-06 14:28:48," #Promote2SR
Don’t torture the pg residents ....WE ARE ALREADY EXHAUSTED #JusticeForFinalYrPG #Promote2SR 

  …",-1
1,Christipaws,2021-05-06 14:28:49, Elise Stefanik is now the front-runner to replace Liz Cheney as GOP Conference Chair. A thread on some of her votes in Congre…,0
2,tzugyutae,2021-05-06 14:28:49, new addition to kwon family's wall 😄 ,1
3,EricLow69046856,2021-05-06 14:28:49," Imagine your last act on Earth before you meet your Maker is ""I voted for someone obviously afflicted with mental illne…",-1
4,lovmgyu,2021-05-06 14:28:50, new addition to kwon family's wall 😄 ,1
5,dhara84,2021-05-06 14:28:51, Volunteers of  -Singapore doing remarkable service to support India during these trying times. (Ms Nishi Kuttan…,1
6,MarkCCrowley,2021-05-06 14:28:52," Every manager should hang this on his or her wall. In the end, it's all about respect and kindness. #management #leadershi…",1
7,planet_miya,2021-05-06 14:28:52," You know what they say about a masterpiece..

PIN HER TO THE WALL 😈 ",1
8,NonVitalTooth,2021-05-06 14:28:53," Place a shark jaws skeleton on your wall , it would definitely drive away your phobia eventually ",0
9,Isfar2020,2021-05-06 14:28:54, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
10,tradermaymz,2021-05-06 14:28:55,"$PDPR
Small wall on the ask at .0001 for 31m
I’m down about 97.9% not to worried just need to bounce here #Joke",1
11,BlaxeDj,2021-05-06 14:28:55,To the window..... To the wall....     #flownachrome #ktniwake #pioneerdj… ,0
12,Marc_Allen513,2021-05-06 14:28:56," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
13,Thee_Ratz,2021-05-06 14:28:57, Elder Paisios throws a young man against the wall with slight move of his hand after he grabbed the elder and blasphemed hi…,1
14,nuigurumiSaku,2021-05-06 14:28:57,4th wall break #sgDarling  #NintendoSwitch ,0
15,mckdaddy1,2021-05-06 14:28:57, Celebrating a fly out like it’s a home turn: Joc Pederson finally became a Cub. ,1
16,uikuro,2021-05-06 14:28:57,Breakthrough the wall! it's the end of sorrow of the truth,-1
17,Massawa93933746,2021-05-06 14:28:58," Yeap... Why bother even with z most elementary geographic facts about ppl &amp; places 1 has no care for? 

The exigency here i…",-1
18,sanjeevkhanna2,2021-05-06 14:28:59,          …,0
19,MarkAnthonySm16,2021-05-06 14:29:00," King Of The Jungle Wall Art Animal

#artprint #artprints #art #artwork #artforsale #canvasart #c…",0
20,PartmalX,2021-05-06 14:29:00," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
21,charlottey_x,2021-05-06 14:29:00, Every time I see Kim where white u think of that stain on khloes wall and I question how she keeps it off her clothes,0
22,ESpirit72,2021-05-06 14:29:01," Hey Calgary, this is a great idea. This could be an effective way to support restaurants *and* help ensure people are…",1
23,carolshade,2021-05-06 14:29:01," 🕷 🕸 🕷 🕸 🕷 🕸 🕷 🕸 🕷 🕸 🕷

                  T H E   B O N D

        Raven Forest. Gray Realm
                   Six year…",0
24,gsmanes,2021-05-06 14:29:01," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
25,PrincessTubTubb,2021-05-06 14:29:02, I thought Mexico was paying for the wall. Lol,1
26,mindflayer_309,2021-05-06 14:29:02,         Repent before its… ,0
27,Sachit34618410,2021-05-06 14:29:03," Yes why cbse not understanding our mental pressure please cancel 12 board exams
#CANCEL12THBOARDEXAM2021 
#DONTIGNORE12T…",1
28,mak__kp,2021-05-06 14:29:03," #Promote2SR #JusticeForFinalYrPG

            …",0
29,kaif_sofia,2021-05-06 14:29:03,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
30,FinancialNews,2021-05-06 14:29:04,"As London heads to the polls, incumbent Sadiq Khan pulls way ahead with bettors. But this ex-Wall Street broker cou… ",0
31,WSJmarkets,2021-05-06 14:29:04,"Heard on the Street: A temporary patent waiver backed by the Biden administration won’t impact short-term profits,… ",0
32,powhatannative,2021-05-06 14:29:04, JK thought doubling down on racism was a good idea as a grown person! I would never have done this as a c… ,1
33,demerarabird,2021-05-06 14:29:05," More than just wood floors, we also do a range of concrete wall panels. Concreate wall panels are lightweight pre-cast…",0
34,kaif_sofia,2021-05-06 14:29:06,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
35,victoria12145,2021-05-06 14:29:06," school has me so fucked up, i just wanna throw my laptop at the wall",-1
36,AftabHind,2021-05-06 14:29:07," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
37,IsabelleKocon,2021-05-06 14:29:07,"Love this! The unique wall lighting is an interesting spin on this centuries old design.

Isabelle Kocon, Realtor S… ",1
38,JoanBadarak,2021-05-06 14:29:07," CNN is wall to wall public relations &amp; rapid response for their favorite warmonger, Liz Cheney...Which tells you everyt…",-1
39,sgarg1981,2021-05-06 14:29:07,        … ,0
40,7pntperspective,2021-05-06 14:29:08,My nidjig order shipped today. I literally have like three orders in the mail from  rn I can't wait to put… ,1
41,kaif_sofia,2021-05-06 14:29:08,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
42,TarunSh52286991,2021-05-06 14:29:08,"1 M+  Student's have tweeted 
#cancel12thboardexmas2021 
But there is no statement from the govt or education minis… ",-1
43,Jack112244,2021-05-06 14:29:09," Most cutest 😍 sweetest 🥰
dearest 💕 loveble 💘


4 YEARS OF REPUBLIC ",1
44,defversez,2021-05-06 14:29:10,"the canvases on the wall look like adoy album covers ㅋㅋㅋ 

 #JAYB #제이비 ",1
45,TMFMaximus,2021-05-06 14:29:10, Really like that wall paneling dude.,1
46,itsASaha,2021-05-06 14:29:11,         Threatening Media… ,-1
47,kaif_sofia,2021-05-06 14:29:11,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
48,AlexanderDeSma3,2021-05-06 14:29:11," $PDPR
Small wall on the ask at .0001 for 31m
I’m down about 97.9% not to worried just need to bounce here #Joke",1
49,AcesDomain,2021-05-06 14:29:12,why is this so relatable,0
50,ui_zero2,2021-05-06 14:29:13," Patterns - When you go into your next game, I dont want you to look at the enemies previous rank. LOOK AT THE AGENT you're…",-1
51,sabithasan,2021-05-06 14:29:13," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
52,kaif_sofia,2021-05-06 14:29:15,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
53,JThesma,2021-05-06 14:29:15," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
54,PhilShow987,2021-05-06 14:29:15,"Sometimes in job interviews, the interviewer will throw a random, off-the-wall question at you to see how well you… ",1
55,jigsaw5714,2021-05-06 14:29:15, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
56,Samantha4Blue,2021-05-06 14:29:16,"    All GOP policies are against people, especially minorities. Good… ",0
57,LynnNoronha,2021-05-06 14:29:16, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
58,VMichl,2021-05-06 14:29:18,"A fascinating world behind the TV wall - shooting the ""Autodesk LIVE 2022"" conference in Prague yesterday",1
59,marysouth,2021-05-06 14:29:18, That's a good question. One of my favorite contributions to this genre is THE WALL by Marlen Haushofe… ,1
60,DorcasKennedy6,2021-05-06 14:29:19,  Why are you reporting this drivel? The PM has offered help to all of the premiers. We have heard him. Kenney to da…,1
61,MrJonCryer,2021-05-06 14:29:19," Jenner has noticed two things: that a cynical run for office gets you tons of airtime, and that the Right loves propping…",1
62,kaif_sofia,2021-05-06 14:29:19,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
63,mightbe_peju,2021-05-06 14:29:20, Kinda wanna cry. Kinda wanna stare at the wall. Kinda wanna scream.. kinda wanna be silent . Kinda wanna be alone. Kinda wanna…,-1
64,Hindu_Vish,2021-05-06 14:29:20," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
65,clh14210,2021-05-06 14:29:20,WEAK🤦🏻‍♂️😂😂😂,1
66,gratott,2021-05-06 14:29:21," For some reason it really triggers Blairites and centrists when people state the fact that #CorbynHeldHartlepool twice.

I…",0
67,kaif_sofia,2021-05-06 14:29:22,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
68,AshleyMonrox,2021-05-06 14:29:22," my onlyfans is $4 for the next 40 people :*

subscribe to see the full photo set [45 pics] posted on my wall &lt;3
…",1
69,RizviSalim,2021-05-06 14:29:23, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
70,Thirdtimeluck15,2021-05-06 14:29:23," CFTC’s  Acting Chairman, Rostin Behnam, said on the record he was acknowledging and condoning attempts by Wall Street bul…",0
71,therealpinoyrob,2021-05-06 14:29:23," Kanyon flew so Jericho could land in whatever that was. For a company that is basically wcw, how could you not… ",0
72,kingz_dead_,2021-05-06 14:29:23, two scrawny people cuddling call that wall to wall,0
73,ahmileys,2021-05-06 14:29:23, do u ever just wanna hit ur head on a wall or smth,0
74,RishikaShetty7,2021-05-06 14:29:23," Remember 's Dabbawala initiative? They raised funds to help them during lockdown. 

Republic is Love.❤
4 YEAR…",1
75,AlbertFlorin1,2021-05-06 14:29:24, That man is a wall! A walking wall,0
76,TheStreet,2021-05-06 14:29:24," This SEC will not he a pushover. Will they like the fact that Wall Street Bets put together a ""syndicate"" that should be fou…",1
77,trufflebuttered,2021-05-06 14:29:24," Go to  to watch the rest of the video and hundreds of FREE posts on my wall ! NO PAY PER VIEW!!!
#…",1
78,74Talk,2021-05-06 14:29:24, Here we go again. 🤦‍♂️ calling out the 🐐 ⁦In the middle of another championship?!?!? ⁦Good luck  ⁦⁩  Just went…,1
79,kaif_sofia,2021-05-06 14:29:25,"   fell 0.54% to end at 33,875.31 points, while the S&amp;P 500 lost 0.72% to 4,181.22
Te… ",-1
80,RohanPr81804469,2021-05-06 14:29:26," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
81,MonicaD66590284,2021-05-06 14:29:26," #Promote2SR #JusticeForFinalYrPG

            …",0
82,mayread3,2021-05-06 14:29:27," NEW dev. in the National Butterfly Center's lawsuit against   in South Texas

 WBtW was ostensibly formed…",-1
83,ArchibaldKgomo,2021-05-06 14:29:27, Adriano’s reaction to being introduced into the Maracanã Wall of Fame ❤️ ,1
84,OscarJetson,2021-05-06 14:29:27,"Sleepy Cockapoo Dog Owner Gift, Abstract Painting Wall Art Print Signed by Artist A4 A3 11x14… ",1
85,LemonPonk,2021-05-06 14:29:27, I keep reading it as the like air refreshing thing so I keep thinking they ate those air thingys you plug into the wall,1
86,itsiiiifav,2021-05-06 14:29:28, Kinda wanna cry. Kinda wanna stare at the wall. Kinda wanna scream.. kinda wanna be silent . Kinda wanna be alone. Kinda wanna…,-1
87,mamakatie64,2021-05-06 14:29:30,He's hiding in many accounts.  Pathetic,-1
88,BTS_Laiba,2021-05-06 14:29:30, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
89,NovasTaylor,2021-05-06 14:29:30,"Totally agree with Mike Atkin 
 #KGC2021: You can't push #KnowledgeGraph implementation in a large com… ",1
90,vinayakven,2021-05-06 14:29:32,          excel… ,0
91,TheRealSquid10,2021-05-06 14:29:32, 50 % of Retail volume going thru Citadel instead of Exchange and still you think Retail Investor formed a syndicate ? may b…,0
92,biwieilishh,2021-05-06 14:29:32, Kinda wanna cry. Kinda wanna stare at the wall. Kinda wanna scream.. kinda wanna be silent . Kinda wanna be alone. Kinda wanna…,-1
93,TarunSh52286991,2021-05-06 14:29:33," 1 M+  Student's have tweeted 
#cancel12thboardexmas2021 
But there is no statement from the govt or education minister…",-1
94,MrFlibble72LFC,2021-05-06 14:29:34," All On All You're Just Another prick Like Max Wall
#ComediansInSongOrFilm",0
95,sophiacol,2021-05-06 14:29:34, Dead from laughing at this piece about London written in the style of Londoners writing about the north — via my fellow…,-1
96,BustingSa,2021-05-06 14:29:34," There are reports that the horses at Fairview were NOT attacked, but let out. One jumped a fence and hit a wall and bro…",1
97,ShivBhaktSSR,2021-05-06 14:29:34, We are forever grateful to you Thank you for being there ♥️,1
98,TBGFL,2021-05-06 14:29:35," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
99,patdmd,2021-05-06 14:29:35," $GOLD is moving today above 1800 level. Expected for my subscribers.

As said, it is vital to change the mindset after a lo…",1
100,Sleestak,2021-05-06 14:29:35,  Back in the day (Military) we'd interview a guy about something illegal/against regs and he'd d… ,0
101,suzanne184,2021-05-06 14:29:35, So private rent extraction through publicly conferred private monopoly privileges over the use of publicly subsidized invention…,1
102,vibin_in_tally,2021-05-06 14:29:37, Pinned &amp; Cornered Jack Thee stallion in the shower no where to to run digging him into to the wall he so fine I could eat…,-1
103,Head_Huntin_31,2021-05-06 14:29:37, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
104,Amrch1,2021-05-06 14:29:38," BREAKING NEWS: Omar says it's shameful for Biden to finish the Wall. 
👊🏻🪖🇺🇸
ALSO BREAKING: Omar is guilty of violating U.…",-1
105,ImGinaHope1,2021-05-06 14:29:38, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
106,ipurple_137,2021-05-06 14:29:39, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
107,4thViv,2021-05-06 14:29:39,"⁦⁩
You still want to include the GOP in all decisions, Senator Manchin?👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿

""McConnell Says… ",1
108,subaganesh,2021-05-06 14:29:40," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
109,phil_sakyi,2021-05-06 14:29:41, Adriano’s reaction to being introduced into the Maracanã Wall of Fame ❤️ ,1
110,Faithmw1,2021-05-06 14:29:41," The man with deep scars in his body will teach you more than the man with deep academic profiles on his wall.

No school teache…",-1
111,belbel1989,2021-05-06 14:29:42," It’s Bruno Mars, if you disagree, fight with the wall",-1
112,karl_1618,2021-05-06 14:29:43," Is the WINNER wall still there? I mean it’s just a fcking wall but you know, fan things to do in SK 🥺🥺 …",1
113,princevantaee,2021-05-06 14:29:43, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
114,SalientSloth1,2021-05-06 14:29:43, 50 % of Retail volume going thru Citadel instead of Exchange and still you think Retail Investor formed a syndicate ? may b…,0
115,LouC666,2021-05-06 14:29:43,"   Sure, whatever you say.

",1
116,CBryceTeckro,2021-05-06 14:29:44, Add your dot to the wall and help build awareness about #ovariancancer! Join  in revealing the bigger p…,1
117,Shrey2311,2021-05-06 14:29:44,      We demand strong action against this heinous crime of this Hospital,-1
118,TodaroMax,2021-05-06 14:29:45, Caitlyn Jenner says she is “all for the wall” but that California is a “compassionate state” in her first TV interview as…,0
119,UtdAll,2021-05-06 14:29:46,Icons  Wall  Widget  AE  #frontpage #mysb   ✌🏼… ,1
120,26v8mG5L8,2021-05-06 14:29:46, Mirror mirror on the wall ... ,0
121,MilcasaStore,2021-05-06 14:29:46,Magic 2 – Wall Mount Concealed Sliding System for Wood Doors  #barndoor #slidingdoor… ,0
122,Tani375196,2021-05-06 14:29:46, It seems RM has one of Yun Hyung Keun's (Korean artist) paintings 🖼on the wall in these pics. He kept showing his love for Y…,1
123,FCCRWF,2021-05-06 14:29:46,For the wall and no new taxes.,-1
124,EuroBoyGinobli,2021-05-06 14:29:47,"How could anyone like this guy. I’ve said it for years. He may be the most talented guy, but he is the most poor le… ",-1
125,shuaibbarnawi,2021-05-06 14:29:47," $1.6 billion lekki port project reaches 50% completion.
The company said it has completed its 1,909m long core of the main b…",1
126,aamlive,2021-05-06 14:29:48,"Gene Peroni’s Daily Podcast: If you’ve been on Wall Street for a number of years, you realize you just can’t fight… ",1
127,shimoney333,2021-05-06 14:29:48, I CAN’T BELIEVE THAT #SAFEMOON was MENTIONED IN A WALL STREET JOURNAL ARTICLE 🔥🚀🌕!! WE ARE #SAFEMOON #SAFEMOONARMY http…,-1
128,heeraman98,2021-05-06 14:29:49," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
129,MarcelloRuffini,2021-05-06 14:29:49,    I thought  would be better ... but unfortunately he is a better leader…,1
130,RandyBlanda,2021-05-06 14:29:50, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
131,JazzynupeXbox,2021-05-06 14:29:51," Happy birthday to the ""Say Hey"" kid forever. Enshrined in the Hall of Fame &amp; Willie Mays Plaza, and the 2… ",1
132,VishnuV77907019,2021-05-06 14:29:51," #Promote2SR #JusticeForFinalYrPG

            …",0
133,John_of_the_As,2021-05-06 14:29:51, 50 % of Retail volume going thru Citadel instead of Exchange and still you think Retail Investor formed a syndicate ? may b…,0
134,TheCollegeCaps,2021-05-06 14:29:52,"Over the course of this short MLB season, I have not at all produced. Game after game continuing to beat the market… ",0
135,Nidhiproudone,2021-05-06 14:29:52," is BIRTH OF INDEPENDENT NATIONALIST MEDIA IN INDIA

HAPPY 4th BIRTHDAY

4 YEARS OF REPUBLIC",1
136,ksoododks,2021-05-06 14:29:53," Okay, fine. I wouldn't be opposed to wall climbing. Seems like a fun date.",1
137,SaakshiS,2021-05-06 14:29:53," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
138,ishimurralam,2021-05-06 14:29:53, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
139,KMKOptometry,2021-05-06 14:29:55,"The floor of the orbit, which is composed of the maxillary, palatine, and zygomatic bones, is the weakest wall of t… ",-1
140,lapislazuli2345,2021-05-06 14:29:56, Elise Stefanik is now the front-runner to replace Liz Cheney as GOP Conference Chair. A thread on some of her votes in Congre…,0
141,SportsGeniuss,2021-05-06 14:29:56, I spent endless hours on ball fields and makeshift sandlots with friends and enemy alike and I loved… ,-1
142,_aminie,2021-05-06 14:29:57," Pls don’t say sorry😭😭😭

“Though staff thought for me of various possibilities, I couldn’t defeat the big wall of corona po…",-1
143,yoonkooksfairy,2021-05-06 14:29:57,HITS HEAD ON WALL PINK JOON ,0
144,chriss_lll,2021-05-06 14:29:58," Vans off the wall high

Sizes 40-45

280 cedis

Please rt ",1
145,rox55g,2021-05-06 14:29:59, Much needed  and add 3 more.,0
146,syedzaid,2021-05-06 14:29:59," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
147,Muth64996535,2021-05-06 14:29:59," #Promote2SR #JusticeForFinalYrPG

            …",0
148,itskyannadenice,2021-05-06 14:29:59, I need this on my wall !,0
149,MarsdenWoo,2021-05-06 14:30:00,NEW ONLINE EXHIBITION: 's latest collection of ceramic wall pieces and works on paper can be viewed on… ,0
150,TheSocialCTV,2021-05-06 14:30:00,"According to The Wall Street Journal, unlike older generations, millennials are very candid with each other about p… ",0
151,daddykool666,2021-05-06 14:30:01," Hello Everyone 🤚🏻

My setup today on My  📲 12 Pro Max

#kalm by  
#SMPRO by  
#SB_widgets by …",1
152,Kaliyugamaya,2021-05-06 14:30:01,"#Radical Violence #Massacres #Rapes #Loot #Exodus in WB;

But Where are;

 

 … ",-1
153,BellyUpKev,2021-05-06 14:30:01,"For a CFB junkie/rankings “guru”, you’d think he’d have better takes",1
154,shrichandrajosh,2021-05-06 14:30:02,         Great ! Call out Nazis !!,1
155,iamvproudofyou,2021-05-06 14:30:02, Ion think so....the wall seems wet,0
156,EmmaLovesCelebz,2021-05-06 14:30:02,"“But first thing first Marley Rose you are Wall Flower no more, you are Women Fierce and we are going to kill this… ",-1
157,Abhishe50965999,2021-05-06 14:30:03," Dear Karma,

The list is long...&amp; the Ex HM of Maharastra comes amongst the first few in the que..Thank you for hitting hard.…",1
158,donutcats,2021-05-06 14:30:04," I can’t decide if my favorite part of this picture is the almost-blep, the beans and tiny smol claw… ",1
159,BPC_Bipartisan,2021-05-06 14:30:05,. promised to roll back many of President Trump's controversial immigration policies.  examines… ,1
160,chanyasulkit,2021-05-06 14:30:05,Set Your Alarms for 7pm TONITE!  #Brookline #LibraryOfThings #FundLibraries  … ,-1
161,rajesht21215269,2021-05-06 14:30:05,          …,0
162,YPal57,2021-05-06 14:30:05," Spine always grows in the back that is against the wall.

To hell with America. Bharat Biotech has already sourced all…",-1
163,connectanshul,2021-05-06 14:30:06," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
164,SilentSailor4,2021-05-06 14:30:07," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
165,rox55g,2021-05-06 14:30:07," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
166,mewgulf_0421,2021-05-06 14:30:07, just imagining pbest meeting gulf for his live prep and gulfs like o what do u have pbest and pbest just takes out these mul…,1
167,nicksasser,2021-05-06 14:30:07, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
168,BackshotXXXGod,2021-05-06 14:30:08, Don't you like being a  🪰 on the wall 😈 ,1
169,BEstFriEnD2347,2021-05-06 14:30:08," The man with deep scars in his body will teach you more than the man with deep academic profiles on his wall.

No school teache…",-1
170,JK695752,2021-05-06 14:30:09,    They’re in the play in.. not in the playoffs yet buddy. And btw… ,1
171,Kaliyugamaya,2021-05-06 14:30:09,"  #Radical Violence #Massacres #Rapes #Loot #Exodus in WB;

But Where are;

… ",-1
172,keenfinsfan,2021-05-06 14:30:10,"Damn , Bobby was the man and really accomplished a lot here",1
173,o_rm_cindy014,2021-05-06 14:30:10, GREAT WALL OF CHINA WITH THE CHINA SHEEP LAY ZHANG! 😩😩😩 ,1
174,djgruman_,2021-05-06 14:30:10, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
175,ChristineRHunt,2021-05-06 14:30:11, What's going to be next press release from ? That he wants to build a wall at our border and he's going to make the…,0
176,myriadgardens,2021-05-06 14:30:11," #Artistic events across #Oklahoma mark #TulsaRaceMassacre centennial, from multimedia #art exhibits to #comics panel at …",0
177,Lexxi__Lethal,2021-05-06 14:30:12, This is dope I want this on my wall with a neon light somehow on it,1
178,princessayakas,2021-05-06 14:30:13,I literally only passed my drivers exam because the lady took pity on me 😭 I failed twice before and the first time… ,-1
179,jasonlavarbrown,2021-05-06 14:30:14,I be watching Wolf of Wall Street while I drive.,0
180,JaphethUche,2021-05-06 14:30:14," 8 - Édouard Mendy has kept eight clean sheets in 11 UEFA Champions League matches this season, the most in a single campaign b…",1
181,dailysimpsons,2021-05-06 14:30:15,The scene where Maude Flanders peers through a hole in a wall at Marge is a reference to the 1960 film Psycho. (vid… ,0
182,allyc375,2021-05-06 14:30:15, Psychiatrists were some of the earliest supporters of #StopSIM. Its hugely disapointing to observe a new wall of silence fr…,1
183,PFF_RyanSmith,2021-05-06 14:30:16,Bobby McCain was a strong slot cornerback (as evidenced by his best season in 2017) but has been just average in hi… ,1
184,southcoop,2021-05-06 14:30:17," It's worth noting that  voted with FAIR only 75% of the time last Congress, and even worse, she voted fo…",1
185,awsomegamer77,2021-05-06 14:30:18, Bat flipping for a hit that doesn’t even get to the wall should be a 3 game suspension  …,0
186,HogeArmy,2021-05-06 14:30:18," The painting will be delivered to the collector


Foundation link:… ",0
187,philoctates,2021-05-06 14:30:18,"Iron Curtain Country

By Francis Levy

no amount of notoriety will spare you
from the inevitable wall of silence",-1
188,PeterJGregory,2021-05-06 14:30:19,"“GOP leaders shouldn’t have to lie about 2020 to keep their job,” the conservative newspaper’s editorial board said. ",0
